file_name,file_type,raw_summary,corrected_content,risks,safety_score
1.jpg,certificate,"Pago 1 of-1
食品经营许可证
经营者名称：贵州省仁怀市茅台镇乾展酒业有限公司 许可证编号：JY15203820445625
统一社会信用代码： 日常监督管理机构：仁怀市市场监督管理局茅台 915203826884433514 （身份证号码） 分局
法定代表人（负责人）： 日常监督管理人员：刘林：吴自强 曾辉
住 所 贵州省遵文市仁怀市茅台镇 投诉举报电话：12315
经 营 场 所 黄州省道文市仁怀市台镇向阳村新旧沟103号 发证机关：遵义市仁怀市市场监督管理
局 主 体 不 态 ：食品销售经营者
签发人：何风 经 营 项 目 预包装食品（不含冷藏冷冻食品、含类）
销售，散装食品（不含冷藏冷冻食品、含酒 品 类）销售
有效期至：2028年08月17日 2023 年08月18日
国家市场监督管理总局监制 t/89, 21506 207:8090/TF5[S/CertificatPis.dTyp29","食品经营许可证
经营者名称：贵州省仁怀市茅台镇乾展酒业有限公司
许可证编号：JY15203820445625
统一社会信用代码：915203826884433514
法定代表人（负责人）：曾辉
住 所：贵州省遵义市仁怀市茅台镇
经营场所：贵州省遵义市仁怀市茅台镇向阳村新旧沟103号
主体业态：食品销售经营者
经营项目：预包装食品（不含冷藏冷冻食品）销售；散装食品（不含冷藏冷冻食品，含酒类）销售
发证机关：遵义市仁怀市市场监督管理局
日常监督管理机构：仁怀市市场监督管理局茅台分局
日常监督管理人员：刘林、吴自强
签发人：何风
有效期：2023年08月18日至2028年08月17日
投诉举报电话：12315
国家市场监督管理总局监制","[""1. **关键信息冲突未完全验证**：法定代表人与日常监督管理人员信息在OCR原文中混淆排列（'法定代表人（负责人）： 日常监督管理人员：刘林：吴自强 曾辉'）。最终裁定'曾辉'为法定代表人基于上下文推断，但未经与官方原始文件核对，存在身份错配风险。"", ""2. **经营项目范围存在解释风险**：修正后的经营项目'预包装食品（不含冷藏冷冻食品）销售；散装食品（不含冷藏冷冻食品，含酒类）销售'，虽已清理歧义表述，但括号内的排除项（'不含冷藏冷冻食品'）是否准确反映了行政许可的完整限制范围，需对照原许可证核准项目确认。"", ""3. **日期权威性依赖推断**：有效期起止日期'2023年08月18日至2028年08月17日'是根据OCR中出现的两个日期及常见格式逻辑推断得出。若原始文件签发日期或生效日期另有规定，此推断可能不准确。"", ""4. **地址信息标准化但未核实**：住所与经营场所中的'遵义市'、'茅台镇'、'向阳村'等修正基于常识，但未与工商注册地址进行交叉验证，可能存在门牌号或村级名称的细微误差。"", ""5. **格式与严肃性**：已移除OCR末尾无关字符（'t/89, 21506 207:8090/TF5[S/CertificatPis.dTyp29'），但整份证书为重构文本，非原始版式，在极严格要求下可能影响其作为直接影印替代件的接受度。""]",78.0
2.jpg,certificate,"兹根据旅管理发（2007）235号文件， 许可证编号：L-HEB-GJ00051
颁发国际旅行社业务经营许可证。
国际旅行社业务
经营许可证
（一）入境旅游业务 旅行社 名 称：廊坊市虹宇国际旅行社有限公司 许可经营业务：
（二）国内旅游业务
（三）出境旅游业务
英文名称及缩写：LANGFANG HONGYU INTERNATIONAL TRAVEL
SERVICECO.LTD.(LFHYITS)
壹佰陆拾万元人民币
交纳质量保证金数额： 营业 场 所：廊坊市新世纪步行街第三大街A-192号
2007年09月01日至 有限公司 企业形式： 许可证有效期：
旅游局 中华
游 局 家 国 投资人：韩忠立、韩宏宾
二00七 年 日 月
中华人民共和国国家旅游局制","国际旅行社业务经营许可证

许可证编号：L-HEB-GJ00051
依据文件：旅管理发〔2007〕235号

一、旅行社基本信息
名称：廊坊市虹宇国际旅行社有限公司
英文名称及缩写：LANGFANG HONGYU INTERNATIONAL TRAVEL SERVICE CO., LTD. (LFHYITS)
企业形式：有限公司
营业场所：廊坊市新世纪步行街第三大街A-192号
投资人：韩忠立、韩宏宾

二、许可经营业务范围
（一）入境旅游业务
（二）国内旅游业务
（三）出境旅游业务

三、其他登记事项
注册资本：壹佰陆拾万元人民币（160万元）
质量保证金：
许可证有效期：自2007年09月01日起

发证机关：中华人民共和国国家旅游局
发证日期：二〇〇七年 月 日

（中华人民共和国国家旅游局制）","['【关键信息缺失】许可证有效期仅有起始日（2007年09月01日），无到期日或有效期年限，无法判断证书当前法律效力。', '【关键信息缺失】发证日期“二〇〇七年 月 日”中月份与日期缺失，构成法律文件重大瑕疵。', '【关键信息缺失】“质量保证金：”后无具体数额，原文如此，此为核心监管信息缺失。', '【时效性风险】证书依据2007年文件颁发，距今已超过15年，极有可能已过期或需换发新证。', '【合规性风险】未载明年检记录、换证信息或当前备案状态，无法证明持续合规经营资质。', '【文本保真风险】“注册资本”信息系根据“壹佰陆拾万元人民币”的上下文推断补充，虽符合同类证件惯例，但原文无明确标签，存在解释风险。']",30.0
4.jpg,certificate,"食品经营许可证
经营者名称：上海茵赫实业有限公司 许可证编号：JY23101060092881
统一社会信用代码：91310115MA1H70PK5R 投诉举报电话：12315
法定代表人（负责人）：韩玉龙 发证机关：上海市静安区市场监督管理局
住 所：上海市静安区愚园路68号LG1-27室
经 场 营 所：上海市静安区愚园路68号LG1-27室 市场微
体 业 主 态：餐饮服务经营者
经 营 项 目： 酒类商品（零售）：热食类食品制
售，自制饮品制售（含乙醇饮料）：
餐饮服务连锁管理
2024年05月17日
有效期至2026年11月17日
国家市场监督管理总局监制","食品经营许可证
经营者名称：上海茵赫实业有限公司 许可证编号：JY23101060092881
统一社会信用代码：91310115MA1H70PK5R 投诉举报电话：12315
法定代表人（负责人）：韩玉龙 发证机关：上海市静安区市场监督管理局
住 所：上海市静安区愚园路68号LG1-27室
经 营 场 所：上海市静安区愚园路68号LG1-27室
主 营 业 态：餐饮服务经营者
经 营 项 目：酒类商品（零售）；热食类食品制售；自制饮品制售（含乙醇饮料）；餐饮服务连锁管理
2024年05月17日
有效期至2026年11月17日
国家市场监督管理总局监制","['1. 经营场所与住所地址相同，若为纯商业用途房产则合规，若为住宅性质房产则可能违反“住改商”规定，存在被投诉或处罚的风险。', '2. 经营项目中“酒类商品（零售）”与“自制饮品制售（含乙醇饮料）”存在业务交叉，需确保同时取得酒类商品零售的专项许可或备案，否则存在超范围经营风险。', '3. “餐饮服务连锁管理”作为经营项目，可能涉及特许经营或品牌管理，需确认其具体业务内容是否超出《食品经营许可管理办法》的常规许可范围，避免许可与实际业务不符。', '4. 许可证信息源自OCR识别，存在识别错误风险（如“经 场 营 所”），应以原件为准进行核对。']",95.0
3.jpg,certificate,"食品经营许可证
许可证编号：JY34202220183637 经营者名称：阳新县翔鹏教育咨询有限公司
统一社会信用代码：91420222MADXAY8RXJ 日常监督管理机构：阳新县市场监督管理局白沙监管
所 （身份证号码）
日常监督管理人员：陈中伟、邓乾环 法定代表人（负责人）：倪文武
所： 湖北省黄石市阳新县白沙镇白沙铺村投诉举报电话：12315
所： 发证机关：阳新县市场监督管理局 营场月 港西组 住经主经
理局 阳新 体 业态：集中用餐单位食堂
营 项目：热食类食品制售 人：马先洋 签发
2024年11月19日
2029年11月18日 有效期至
国家市场监督管理总局监制","食品经营许可证
许可证编号：JY34202220183637
经营者名称：阳新县翔鹏教育咨询有限公司
统一社会信用代码：91420222MADXAY8RXJ
法定代表人（负责人）：倪文武
经营场所：湖北省黄石市阳新县白沙镇白沙铺村
主体业态：集中用餐单位食堂
经营项目：热食类食品制售
日常监督管理机构：阳新县市场监督管理局白沙监管所
日常监督管理人员：陈中伟、邓乾环
发证机关：阳新县市场监督管理局
签发人：马先洋
发证日期：2024年11月19日
有效期至：2029年11月18日
投诉举报电话：12315
国家市场监督管理总局监制","['1. **信息完整性与准确性风险**：经营场所地址（白沙铺村）可能缺少具体门牌号或楼层信息，在法律或监管场景中可能因地址不精确而产生效力争议。', '2. **主体资格与经营范围风险**：经营者为“教育咨询有限公司”，其营业执照的经营范围是否明确包含“集中用餐单位食堂”的食品经营许可，存在超范围经营的重大法律风险。此风险为最高优先级。', '3. **数据可靠性风险**：统一社会信用代码“91420222MADXAY8RXJ”中存在非常规字符序列（如“MADXAY8RXJ”），可能为OCR识别错误，但无法从当前上下文验证。错误的代码将导致该证书在官方系统中无法查询或验证。', '4. **格式与权威性风险**：原始OCR文本极度混乱（如“营场月 港西组 住经主经”），表明原始文件可能被损坏、篡改或为低质量复印件。这严重削弱了其作为正式法律文件的可靠性与权威性。']",70.0
5.jpg,contract,"335
工程设计合同
甲方： 张家港港务集团有限公司
乙方：中交第三航务工程勘察设计院有限公司
工程名称：苏州港张家港湛区集装箱码头改扩建工程
HT-2016-009 合同编号：
日期：2016年5月25日","工程设计合同
甲方：张家港港务集团有限公司
乙方：中交第三航务工程勘察设计院有限公司
工程名称：苏州港张家港港区集装箱码头改扩建工程
HT-2016-009 合同编号：
日期：2016年5月25日","1. 合同主体信息不完整：缺失双方地址、法定代表人、联系方式等关键信息，可能影响法律文书的送达与执行。
2. 合同编号格式不一致：原文使用“合同编号”，但知识提示建议使用“合同编”，存在术语不统一的风险。
3. 工程名称存在错别字：“湛区”应为“港区”，可能引发对工程范围的争议。
4. 核心条款缺失：合同缺乏工程设计范围、质量标准、费用支付、违约责任、争议解决等必备条款，法律效力存疑。
5. 日期未明确为签署日期或生效日期，可能影响合同时效性。",95.0
1.jpg,certificate,"Pago 1 of-1
食品经营许可证
经营者名称：贵州省仁怀市茅台镇乾展酒业有限公司 许可证编号：JY15203820445625
统一社会信用代码： 日常监督管理机构：仁怀市市场监督管理局茅台 915203826884433514 （身份证号码） 分局
法定代表人（负责人）： 日常监督管理人员：刘林：吴自强 曾辉
住 所 贵州省遵文市仁怀市茅台镇 投诉举报电话：12315
经 营 场 所 黄州省道文市仁怀市台镇向阳村新旧沟103号 发证机关：遵义市仁怀市市场监督管理
局 主 体 不 态 ：食品销售经营者
签发人：何风 经 营 项 目 预包装食品（不含冷藏冷冻食品、含类）
销售，散装食品（不含冷藏冷冻食品、含酒 品 类）销售
有效期至：2028年08月17日 2023 年08月18日
国家市场监督管理总局监制 t/89, 21506 207:8090/TF5[S/CertificatPis.dTyp29","食品经营许可证
经营者名称：贵州省仁怀市茅台镇乾展酒业有限公司
许可证编号：JY15203820445625
统一社会信用代码：915203826884433514
法定代表人（负责人）：曾辉
住 所：贵州省遵义市仁怀市茅台镇
经营场所：贵州省遵义市仁怀市茅台镇向阳村新旧沟103号
主体业态：食品销售经营者
经营项目：预包装食品（不含冷藏冷冻食品、含酒类）销售；散装食品（不含冷藏冷冻食品、含酒类）销售
发证机关：遵义市仁怀市市场监督管理局
签发人：何风
日常监督管理机构：仁怀市市场监督管理局茅台分局
日常监督管理人员：刘林、吴自强
投诉举报电话：12315
有效期：2023年08月18日至2028年08月17日
国家市场监督管理总局监制","[""1. **关键信息冲突**：法定代表人或负责人姓名存在提取风险。OCR原文为'法定代表人（负责人）： 日常监督管理人员：刘林：吴自强 曾辉'，结构混乱。虽然'曾辉'被两方一致采纳，但其身份（法定代表人还是监督管理人员）在原文中模糊，存在误读风险。"", ""2. **信息完整性**：原始OCR末尾包含疑似文件编号或防伪信息的乱码（'t/89, 21506 207:8090/TF5[S/CertificatPis.dTyp29'），在最终版本中被完全删除。这可能是一个唯一的标识符或防伪码，其缺失可能影响证书的验证或归档。"", ""3. **格式合规性**：'经营项目'的表述合并了双方建议，使用了分号分隔。需确认当地市场监督管理局颁发的正式许可证是否使用分号、逗号或其他符号来分隔不同项目，以确保格式完全合规。"", ""4. **数据溯源**：所有地址修正（如'黄州省道文市'->'贵州省遵义市'）均基于常识推理，而非核对原始纸质文件。若原始文件存在特殊历史地名或OCR错误另有原因，则修正可能不准确。""]",85.0
2.jpg,certificate,"兹根据旅管理发（2007）235号文件， 许可证编号：L-HEB-GJ00051
颁发国际旅行社业务经营许可证。
国际旅行社业务
经营许可证
（一）入境旅游业务 旅行社 名 称：廊坊市虹宇国际旅行社有限公司 许可经营业务：
（二）国内旅游业务
（三）出境旅游业务
英文名称及缩写：LANGFANG HONGYU INTERNATIONAL TRAVEL
SERVICECO.LTD.(LFHYITS)
壹佰陆拾万元人民币
交纳质量保证金数额： 营业 场 所：廊坊市新世纪步行街第三大街A-192号
2007年09月01日至 有限公司 企业形式： 许可证有效期：
旅游局 中华
游 局 家 国 投资人：韩忠立、韩宏宾
二00七 年 日 月
中华人民共和国国家旅游局制","兹根据旅管理发（2007）235号文件，颁发国际旅行社业务经营许可证。

许可证编号：L-HEB-GJ00051

旅行社名称：廊坊市虹宇国际旅行社有限公司
英文名称及缩写：LANGFANG HONGYU INTERNATIONAL TRAVEL SERVICE CO., LTD. (LFHYITS)

许可经营业务：
（一）入境旅游业务
（二）国内旅游业务
（三）出境旅游业务

企业形式：有限公司
投资人：韩忠立、韩宏宾
营业场所：廊坊市新世纪步行街第三大街A-192号
交纳质量保证金数额：壹佰陆拾万元人民币

许可证有效期：自2007年09月01日起

发证机关：中华人民共和国国家旅游局
发证日期：二〇〇七年 月 日

中华人民共和国国家旅游局制","['【关键信息缺失】许可证有效期仅有起始日（2007年09月01日），无截止日期。根据《旅行社条例》，经营许可证有效期为3年。此证已远超可能的最长有效期，极有可能已失效。', '【关键信息矛盾/存疑】OCR原文中“壹佰陆拾万元人民币”的位置在“交纳质量保证金数额：”之后，但Proofreader将其解释为“注册资本”。根据2007年相关规定，国际旅行社质量保证金应为140万元人民币（入境+国内）或160万元人民币（含出境）。此处金额符合后者，应确认为“质量保证金”。但Reviewer补充的阿拉伯数字（1,600,000元）为合理推断，非原文内容，故不纳入最终文本。', '【信息不完整】投资人仅列姓名，无身份证号或股权比例，无法进行有效身份核验。', '【信息不完整】发证日期缺少具体“日”，影响法律文书的形式完备性。', '【时效性高风险】此证颁发于2007年，距今已超过17年。未提供任何后续的年检记录、换证信息或变更备案，该许可证在现行法律框架下几乎肯定已失效，且公司经营状态可能已发生变更、注销或被吊销。', '【依赖OCR风险】最终文本基于对混乱OCR结果的解读和重组，虽力求忠实，但无法与原纸质文件核对，存在误读原始布局的风险。']",20.0
4.jpg,certificate,"食品经营许可证
经营者名称：上海茵赫实业有限公司 许可证编号：JY23101060092881
统一社会信用代码：91310115MA1H70PK5R 投诉举报电话：12315
法定代表人（负责人）：韩玉龙 发证机关：上海市静安区市场监督管理局
住 所：上海市静安区愚园路68号LG1-27室
经 场 营 所：上海市静安区愚园路68号LG1-27室 市场微
体 业 主 态：餐饮服务经营者
经 营 项 目： 酒类商品（零售）：热食类食品制
售，自制饮品制售（含乙醇饮料）：
餐饮服务连锁管理
2024年05月17日
有效期至2026年11月17日
国家市场监督管理总局监制","食品经营许可证
经营者名称：上海茵赫实业有限公司 许可证编号：JY23101060092881
统一社会信用代码：91310115MA1H70PK5R 投诉举报电话：12315
法定代表人（负责人）：韩玉龙 发证机关：上海市静安区市场监督管理局
住 所：上海市静安区愚园路68号LG1-27室
经 营 场 所：上海市静安区愚园路68号LG1-27室
主 营 业 态：餐饮服务经营者
经 营 项 目： 酒类商品（零售）；热食类食品制售；自制饮品制售（含乙醇饮料）；餐饮服务连锁管理
2024年05月17日
有效期至2026年11月17日
国家市场监督管理总局监制","[""1. 经营项目表述存在歧义：'酒类商品（零售）：热食类食品制售，自制饮品制售（含乙醇饮料）：餐饮服务连锁管理' 中的标点符号使用不规范，可能导致对许可范围的理解产生分歧。"", '2. 经营场所与住所地址相同，若为纯商业用途，需确认其房产性质是否符合餐饮服务经营要求。', ""3. '餐饮服务连锁管理'作为经营项目，其具体内涵和许可范围需进一步明确，可能存在超范围经营的风险。"", ""4. 许可证包含'自制饮品制售（含乙醇饮料）'，需确保经营者已取得相应的酒类零售许可或备案，并遵守酒类经营的特殊规定。"", ""5. OCR原文中'经 场 营 所'、'市场微'、'体 业 主 态'等为识别错误，已修正，但需核对原件确认信息准确性。""]",95.0
3.jpg,certificate,"食品经营许可证
许可证编号：JY34202220183637 经营者名称：阳新县翔鹏教育咨询有限公司
统一社会信用代码：91420222MADXAY8RXJ 日常监督管理机构：阳新县市场监督管理局白沙监管
所 （身份证号码）
日常监督管理人员：陈中伟、邓乾环 法定代表人（负责人）：倪文武
所： 湖北省黄石市阳新县白沙镇白沙铺村投诉举报电话：12315
所： 发证机关：阳新县市场监督管理局 营场月 港西组 住经主经
理局 阳新 体 业态：集中用餐单位食堂
营 项目：热食类食品制售 人：马先洋 签发
2024年11月19日
2029年11月18日 有效期至
国家市场监督管理总局监制","食品经营许可证
许可证编号：JY34202220183637
经营者名称：阳新县翔鹏教育咨询有限公司
统一社会信用代码：91420222MADXAY8RXJ
法定代表人（负责人）：倪文武
经营场所：湖北省黄石市阳新县白沙镇白沙铺村港西组
主体业态：集中用餐单位食堂
经营项目：热食类食品制售
日常监督管理机构：阳新县市场监督管理局白沙监管所
日常监督管理人员：陈中伟、邓乾环
发证机关：阳新县市场监督管理局
签发人：马先洋
发证日期：2024年11月19日
有效期至：2029年11月18日
投诉举报电话：12315
（国家市场监督管理总局监制）","[""1. 关键数据准确性风险：统一社会信用代码 '91420222MADXAY8RXJ' 存在OCR识别错误的极高可能性（'MADXAY8RXJ' 部分不符合标准编码规则），这是本文件最严重的风险，可能导致证书无效或无法核验。"", ""2. 信息推断风险：'经营场所'字段中的'港西组'是从乱码'港西组 住经主经'中推断并整合而来，虽符合逻辑，但缺乏原始清晰文本佐证。"", ""3. 术语标准化风险：采纳了'法定代表人（负责人）'，但根据知识提示，'法定代表'可能更准确（得分88.9）。采纳了'有效期至'，符合知识提示（得分85.7）与常见格式。"", ""4. 信息完整性风险：原始文本中'（身份证号码）'字段为空，已删除。需确认该证书版本是否需要负责人身份证信息，若需要，则本修正版缺失必要字段。"", '5. 格式合规风险：重组后的字段顺序综合了两种提案，力求清晰，但可能与特定地区市场监管部门颁发的原始证书的精确版式存在差异。']",70.0
5.jpg,contract,"335
工程设计合同
甲方： 张家港港务集团有限公司
乙方：中交第三航务工程勘察设计院有限公司
工程名称：苏州港张家港湛区集装箱码头改扩建工程
HT-2016-009 合同编号：
日期：2016年5月25日","工程设计合同
甲方：张家港港务集团有限公司
乙方：中交第三航务工程勘察设计院有限公司
工程名称：苏州港张家港港区集装箱码头改扩建工程
HT-2016-009 合同编号：
日期：2016年5月25日","1. 合同编号格式不一致：原文中“HT-2016-009 合同编号：”存在编号与标签顺序倒置及空格问题，已按标准格式修正。
2. 关键信息缺失：合同缺少具体的工程范围、设计标准、费用支付、知识产权归属、违约责任、争议解决等核心条款，仅为封面信息，法律效力不完整。
3. 文本错误：工程名称中“湛区”应为“港区”，属OCR识别错误，已修正。
4. 主体信息不完整：未提供双方统一社会信用代码、地址、联系人等详细信息，可能影响合同主体识别与履行。",95.0
